state,ec_id,wheelchair_access,lat,lon,name,premises,address
ACT,,Unknown,-35.255295,149.147507,Ainslie,North Ainslie Primary School,122 Majura Avenue
ACT,,Unknown,-35.165154,149.128693,Amaroo,Amaroo School,135 Katherine Avenue
ACT,,Unknown,-35.255314,149.080322,Aranda,Aranda Primary School,1 Banambila Street
ACT,,Unknown,-35.161709,149.140756,Bonner,Neville Bonner Primary School,60 Mabo Boulevard
ACT,,Unknown,-35.2734,149.139706,Braddon,Ainslie School,Donaldson Street
ACT,,Unknown,-35.440895,149.117645,Calwell,Calwell High School,111 Casey Crescent
ACT,,Unknown,-35.290355,149.156167,Campbell,Campbell Primary School,Chauvel Street
ACT,,Unknown,-35.356533,149.042725,Chapman,Chapman Primary School,46 - 50 Perry Drive
ACT,,Unknown,-35.205223,149.030483,Charnwood,St Thomas Aquinas Primary School,25 Lhotsky Street
ACT,,Unknown,-35.419892,149.122593,Chisholm,Caroline Chisholm School (Primary Campus),108 Hambidge Crescent
ACT,,Unknown,-35.320236,149.040783,Coombs,Charles Weston School,80 Woodberry Avenue
ACT,,Unknown,-35.331319,149.07985,Curtin,Curtin Primary School,Theodore Street
ACT,,Unknown,-35.244885,149.144907,Downer,Downer Community Centre,Frencham Place
ACT,,Unknown,-35.335209,149.032303,Duffy,Duffy Primary School,47 Burrinjuck Crescent
ACT,,Unknown,-35.212829,149.066617,Evatt,Miles Franklin Primary School,Alderman Street
ACT,,Unknown,-35.403696,149.118423,Fadden,Fadden Primary School,5 Hanlon Crescent
ACT,,Unknown,-35.224602,149.040428,Florey,St Francis Xavier College,Barnard Circuit
ACT,,Unknown,-35.191893,149.043024,Fraser,Fraser Primary School,177 Tillyard Drive
ACT,,Unknown,-35.456412,149.08673,Gordon,Gordon Primary School,Knoke Avenue
ACT,,Unknown,-35.413097,149.110397,Gowrie,Gowrie Primary School,Jeffries Street
ACT,,Unknown,-35.199207,149.151535,Harrison,Harrison School,20 Wimmera Street
ACT,,Unknown,-35.428518,149.089365,Isabella Plains,Isabella Plains Early Childhood School,130-140 Ellerston Avenue
ACT,,Unknown,-35.235031,149.102768,Kaleen,Maribyrnong Primary School,100 Alberga Street
ACT,,Unknown,-35.224648,149.11322,Kaleen,Kaleen Primary School,19 Ashburton Circuit
ACT,,Unknown,-35.392456,149.067337,Kambah,Namadgi School,141 O'Halloran Circuit
ACT,,Unknown,-35.378397,149.063919,Kambah,Taylor Primary School,88 Marconi Crescent
ACT,,Unknown,-35.251403,149.125704,Lyneham,Lyneham Primary School,68 Brigalow Street
ACT,,Unknown,-35.212341,149.011993,Macgregor,Macgregor Primary School,Hirschfeld Crescent
ACT,,Unknown,-35.358524,149.097687,Mawson,Mawson Primary School,62 Ainsworth Street
ACT,,Unknown,-35.208294,149.055771,Melba,Mount Rogers Primary School,52 Alfred Hill Drive
ACT,,Unknown,-35.414528,149.089249,Monash,Monash Primary School,45 Corlette Crescent
ACT,,Unknown,-35.329025,149.150543,Narrabundah,Narrabundah Early Childhood School,23-25 Kootara Crescent
ACT,,Unknown,-35.168819,149.111694,Ngunnawal,Ngunnawal Primary School,11 Unaipon Avenue
ACT,,Unknown,-35.197454,149.120739,Palmerston,Palmerston District Primary School,80 Kosciuszko Avenue
ACT,,Unknown,-35.362738,149.088616,Pearce,Melrose High School,Marr Street
ACT,,Unknown,-35.339027,149.13269,Red Hill,Red Hill Primary School,Astrolabe Street
ACT,,Unknown,-35.232551,149.038407,Scullin,Southern Cross Early Childhood School,33 Wirraway Crescent
ACT,,Unknown,-35.151691,149.112896,Taylor,Margaret Hendry School,100 Sutherland Crescent
ACT,,Unknown,-35.265213,149.126114,Turner,Turner School,32 Condamine Street
ACT,,Unknown,-35.392986,149.09613,Wanniassa,Wanniassa Hills Primary School,Langdon Avenue
ACT,,Unknown,-35.354931,149.059174,Waramanga,Arawang Primary School,Nemarang Crescent
ACT,,Unknown,-35.23859,149.154938,Watson,Majura Primary School,101 Knox Street
ACT,,Unknown,-35.25201,149.047577,Weetangera,Weetangera Primary School,71 Southwell Street
ACT,,Unknown,-35.30683,149.102134,Yarralumla,Yarralumla Primary School,24 Loftus Street
ACT,,Unknown,-35.23892,149.06921,Belconnen,Belconnen Community Centre,23 Swanson Court
ACT,,Unknown,-35.28063,149.131,Canberra City,Canberra Museum and Gallery,176 London Circuit (Corner Civic Square)
ACT,,Unknown,-35.45726,149.09402,Lanyon,,17 Sidney Nolan Street
ACT,,Unknown,-35.25198,149.13453,Dickson,Ground Floor,470 Northbourne Avenue
ACT,,Unknown,-35.416759,149.06868,Tuggeranong,Corner Anketell Street & Reed Street North,Greenway
ACT,,Unknown,-35.31776,149.13356,Manuka,Manuka Oval,Manuka Circle
ACT,,Unknown,-35.18566,149.13358,Gungahlin,"Level 1, Shop 12, 30 & 33 Hibberson St",Marketplace Gungahlin
ACT,,Unknown,-35.223114,149.012872,Kippax,Holt Neighbourhood Hall,72 Beaurepaire Crescent
ACT,,Unknown,-35.17824,149.09794,Casey,Nicholls Playing Field,230 Clarrie Hermes Dr
ACT,,Unknown,-35.34193,149.08567,Woden,,2 Bowes St
ACT,,Unknown,-35.341716,149.05364,Weston Creek,Weston Creek Community Centre,Parkinson St
